image_url,image_A_url,image_B_url
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1000_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1000.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1000_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1010_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1010.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1010_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1030_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1030.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1030_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1090_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1090.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1090_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1100_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1100.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1100_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1110_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1110.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1110_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1120_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1120.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1120_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1160_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1160.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1160_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_120_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_120.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_120_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1210_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1210.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1210_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1260_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1260.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1260_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1300_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1300.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1300_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1350_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1350.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1350_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1360_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1360.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1360_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_140_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_140.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_140_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1420_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1420.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1420_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1540_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1540.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1540_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1620_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1620.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1620_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1630_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1630.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1630_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1660_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1660.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1660_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1690_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1690.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1690_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1740_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1740.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1740_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1750_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1750.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1750_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_180_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_180.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_180_fake_A.png
https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1820_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1820.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1820_fake_A.png
