HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.image_A_url,Input.image_B_url,Answer.choice,Approve,Reject
3O0M2G5VC6W87JDI7FCS9EO4KML94S,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:27 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:27 PDT 2018,,,3TVRFO09GL9XT70U6PMP0I7L3CIXLD,A18S7VHZ6X4F93,Submitted,Thu Mar 08 23:25:54 PST 2018,Thu Mar 08 23:26:02 PST 2018,Mon Mar 12 00:26:02 PDT 2018,,,,8,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_1010.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_1010.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_1010_fake_B.png,optionA,,
3BPP3MA3TCEL0NBKLIRVN9RQX5WEL0,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:27 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:27 PDT 2018,,,32AT8R96GM3SGG1PLT83SXMC1O9USW,A18S7VHZ6X4F93,Submitted,Thu Mar 08 23:26:33 PST 2018,Thu Mar 08 23:26:54 PST 2018,Mon Mar 12 00:26:54 PDT 2018,,,,21,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_1160.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_1160.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_1160_fake_B.png,optionA,,
3DTJ4WT8BD955CSO0JI4VO2OCE3ZE3,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:27 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:27 PDT 2018,,,3DY46V3X3QCAPZDZ8WNNRAK4ON955O,A18S7VHZ6X4F93,Submitted,Thu Mar 08 23:25:12 PST 2018,Thu Mar 08 23:25:29 PST 2018,Mon Mar 12 00:25:29 PDT 2018,,,,17,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_1260.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_1260.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_1260_fake_B.png,optionA,,
38B7Q9C28GZMM6HWQ3576C8IGDR96D,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:28 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:28 PDT 2018,,,3OUYGIZWR8SFN29HV5QP8LTUYFZ0PK,A18S7VHZ6X4F93,Submitted,Thu Mar 08 23:27:35 PST 2018,Thu Mar 08 23:27:46 PST 2018,Mon Mar 12 00:27:46 PDT 2018,,,,11,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_1350.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_1350.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_1350_fake_B.png,optionA,,
3IWA71V4TIACN2ZUTJBLMFU0NGI6XT,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:29 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:29 PDT 2018,,,31N2WW6R9SKZDHJK0PC3YPDXZLWF3R,A18S7VHZ6X4F93,Submitted,Thu Mar 08 23:27:17 PST 2018,Thu Mar 08 23:27:34 PST 2018,Mon Mar 12 00:27:34 PDT 2018,,,,17,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_2580.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_2580.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_2580_fake_B.png,optionA,,
3DWNFENNE3PXDVQRTR35Y827GRXJ4X,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:29 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:29 PDT 2018,,,3NPFYT4IZDYH7FMTVYP9NQ2D7VXGXR,A1XCX1KI3XRPRZ,Submitted,Thu Mar 08 23:33:28 PST 2018,Thu Mar 08 23:33:43 PST 2018,Mon Mar 12 00:33:43 PDT 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_440.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_440.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_440_fake_B.png,optionA,,
3W3RSPVVGSL2PJ86BI60RRDTJTQLUO,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:29 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:29 PDT 2018,,,34YB12FSQZI6D3NPHRN0C9MF0RCMGC,A3QQJISUKWNE0,Approved,Thu Mar 08 23:21:06 PST 2018,Thu Mar 08 23:21:31 PST 2018,Mon Mar 12 00:21:31 PDT 2018,Fri Mar 09 00:25:36 PST 2018,,,25,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_4420.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_4420.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_4420_fake_B.png,optionA,,
3X7837UUADSBSIU5CFWKV6MLCI3J6I,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:30 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:30 PDT 2018,,,3K3R2QNK8CXAB15QCN8CB2HM90KU9L,A3VETGL4OCTWD5,Approved,Thu Mar 08 23:24:42 PST 2018,Thu Mar 08 23:25:17 PST 2018,Mon Mar 12 00:25:17 PDT 2018,Fri Mar 09 00:25:37 PST 2018,,,35,100% (3/3),100% (3/3),100% (3/3),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_510.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_510.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_510_fake_B.png,optionA,,
3G9UA71JVVOUWI8AVP1C1KMH7TNJ7H,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:30 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:30 PDT 2018,,,3VBEN272MLT9BY0U1OJMOILLSGUSGU,A18S7VHZ6X4F93,Submitted,Thu Mar 08 23:25:42 PST 2018,Thu Mar 08 23:25:53 PST 2018,Mon Mar 12 00:25:53 PDT 2018,,,,11,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_530.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_530.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_530_fake_B.png,optionA,,
3IV1AEQ4DR7YWWDT5UTIFKICIDTJ84,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Thu Mar 08 23:18:30 PST 2018,2,BatchId:3146169;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 00:18:30 PDT 2018,,,3XIQGXAUMD2YEMBS2VLFHDPK8SDX74,A3N5P5VO81FIJ6,Submitted,Thu Mar 08 23:25:10 PST 2018,Thu Mar 08 23:25:22 PST 2018,Mon Mar 12 00:25:22 PDT 2018,,,,12,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_horse/n02381460_690.jpg,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_zebra/n02381460_690.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X2_test200_fake_zebra/n02381460_690_fake_B.png,optionA,,
