HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.image_A_url,Input.image_B_url,Answer.choice,Approve,Reject
335VBRURDJUQZLABWLO5I00VXBW9EF,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:20 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:20 PDT 2018,,,31IBVUNM9TTJPQL3KZI9HK5GQ9XVFK,A3BP890CXV4UMN,Submitted,Fri Mar 09 21:36:32 PST 2018,Fri Mar 09 21:36:46 PST 2018,Mon Mar 12 22:36:46 PDT 2018,,,,14,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1030_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1030.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1030_fake_A.png,optionA,,
335VBRURDJUQZLABWLO5I00VXBW9EF,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:20 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:20 PDT 2018,,,3SITXWYCNW3LGYEIFCXVMFBGRMFBXN,AOK9ZTWFLPLMH,Submitted,Fri Mar 09 21:47:25 PST 2018,Fri Mar 09 21:47:32 PST 2018,Mon Mar 12 22:47:32 PDT 2018,,,,7,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1030_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1030.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1030_fake_A.png,optionA,,
3OPLMF3EU5HPUTOXEHUEDWLZBXELND,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:20 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:20 PDT 2018,,,39U1BHVTDML9WM1LV9HSFTSYQYDT3U,A1QTFE8FVK3HMG,Submitted,Fri Mar 09 21:38:28 PST 2018,Fri Mar 09 21:38:33 PST 2018,Mon Mar 12 22:38:33 PDT 2018,,,,5,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1090_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1090.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1090_fake_A.png,optionA,,
3OPLMF3EU5HPUTOXEHUEDWLZBXELND,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:20 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:20 PDT 2018,,,3XUHV3NRVLSM5SXU9YOWG7NUT0AH5Z,AOK9ZTWFLPLMH,Submitted,Fri Mar 09 21:47:32 PST 2018,Fri Mar 09 21:47:40 PST 2018,Mon Mar 12 22:47:40 PDT 2018,,,,8,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1090_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1090.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1090_fake_A.png,optionA,,
3M7OI89LVYIOK4OZ2NFY829QMYBC6E,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3C2NJ6JBKBBMGR0IUDHBNKHEV2SN2D,A3BP890CXV4UMN,Submitted,Fri Mar 09 21:49:14 PST 2018,Fri Mar 09 21:49:26 PST 2018,Mon Mar 12 22:49:26 PDT 2018,,,,12,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1110_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1110.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1110_fake_A.png,optionA,,
3L1EFR8WWTZI5ZA7RW8B0ILV9CB9FX,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3II4UPYCOK1UMYBQ7UT9NX3NX43QDB,A3BP890CXV4UMN,Submitted,Fri Mar 09 21:37:26 PST 2018,Fri Mar 09 21:37:52 PST 2018,Mon Mar 12 22:37:52 PDT 2018,,,,26,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1120_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1120.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1120_fake_A.png,optionA,,
3ACRLU860N89NEP8U52196VLLBZEBU,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,30X31N5D64K817NRFORCSWAIUPSSA1,AOK9ZTWFLPLMH,Submitted,Fri Mar 09 21:48:46 PST 2018,Fri Mar 09 21:48:52 PST 2018,Mon Mar 12 22:48:52 PDT 2018,,,,6,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1160_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1160.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1160_fake_A.png,optionA,,
388FBO7JZRN9USVWXWJ474NVKCINY7,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3BC8WZX3V4QOZ99V2ADTXCUW8RXRRK,AOK9ZTWFLPLMH,Submitted,Fri Mar 09 21:48:14 PST 2018,Fri Mar 09 21:48:21 PST 2018,Mon Mar 12 22:48:21 PDT 2018,,,,7,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1210_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1210.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1210_fake_A.png,optionA,,
3421H3BM9ABYA1W3AMZWFGDN2JSJ9A,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,36H9ULYP63OAYVL93A4QEWUMVMQJFN,A2T2EY1WMQJMOU,Submitted,Fri Mar 09 21:30:51 PST 2018,Fri Mar 09 21:31:07 PST 2018,Mon Mar 12 22:31:07 PDT 2018,,,,16,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1300_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1300.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1300_fake_A.png,optionA,,
3421H3BM9ABYA1W3AMZWFGDN2JSJ9A,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3N1FSUEFL6UNXTOS9XMWKU2I1CN4D9,A3RYI5HXC2MJLN,Submitted,Fri Mar 09 21:49:29 PST 2018,Fri Mar 09 21:49:37 PST 2018,Mon Mar 12 22:49:37 PDT 2018,,,,8,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1300_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1300.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1300_fake_A.png,optionA,,
359AP8GAGGE7O424LXKQEG9MH9VC7D,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3JW0YLFXRUAYF1730YX57AAUSLQWWU,AKK2BPA71TA3M,Submitted,Fri Mar 09 21:41:29 PST 2018,Fri Mar 09 21:41:41 PST 2018,Mon Mar 12 22:41:41 PDT 2018,,,,12,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1350_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1350.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1350_fake_A.png,optionA,,
359AP8GAGGE7O424LXKQEG9MH9VC7D,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3OVR4I9USQDHM2SXEJSGKT9HKR9Q4X,A3BP890CXV4UMN,Submitted,Fri Mar 09 21:31:20 PST 2018,Fri Mar 09 21:31:29 PST 2018,Mon Mar 12 22:31:29 PDT 2018,,,,9,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1350_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1350.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1350_fake_A.png,optionA,,
3H1C3QRA01DSXJHE85YWKQ133WZEC1,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3L4PIM1GQUAXWALHG55N58NTBECRYM,AOK9ZTWFLPLMH,Submitted,Fri Mar 09 21:48:21 PST 2018,Fri Mar 09 21:48:27 PST 2018,Mon Mar 12 22:48:27 PDT 2018,,,,6,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1360_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1360.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1360_fake_A.png,optionA,,
3H1C3QRA01DSXJHE85YWKQ133WZEC1,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3N2BF7Y2VROKDZI01X5IX9YGFVZHMO,AKK2BPA71TA3M,Submitted,Fri Mar 09 21:40:39 PST 2018,Fri Mar 09 21:40:49 PST 2018,Mon Mar 12 22:40:49 PDT 2018,,,,10,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_1360_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_1360.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_1360_fake_A.png,optionA,,
3HKIF5DF6YROJZ622GETI3L7ARB9GW,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,34BBWHLWHB5GE6NYBHTQ6J1MDARWIM,A3BP890CXV4UMN,Submitted,Fri Mar 09 21:32:55 PST 2018,Fri Mar 09 21:33:01 PST 2018,Mon Mar 12 22:33:01 PDT 2018,,,,6,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_140_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_140.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_140_fake_A.png,optionA,,
3HKIF5DF6YROJZ622GETI3L7ARB9GW,3WXKWJ1SHEMOHME7RONJNXBCJ2WTDQ,Choose between image A or B,Choose between image A or B whose visual quality is better,"image, comparison, choose, abtest",$0.00 ,Fri Mar 09 21:28:21 PST 2018,2,BatchId:3147587;OriginalHitTemplateId:926158629;,120,259200,Fri Mar 16 22:28:21 PDT 2018,,,3PZDLQMM0UF3PN3R5N8X79N2WYEC2K,AOK9ZTWFLPLMH,Submitted,Fri Mar 09 21:47:40 PST 2018,Fri Mar 09 21:47:48 PST 2018,Mon Mar 12 22:47:48 PDT 2018,,,,8,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/napCC/PhotoRep/master/real_zebra/n02381460_140_real_B.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/CycleGAN_fake_horse/n02381460_140.png,https://raw.githubusercontent.com/napCC/PhotoRep/master/ImagenetZebra_cycle_attn_X1_test160_fake_horse/n02381460_140_fake_A.png,optionA,,
